TIME,LABEL
0.082000000,26.3
0.522000000,27.3
0.976000000,27.1
1.432000000,27.2
1.864000000,1.2
2.344000000,1.3
2.792000000,1.4
3.226041667,2.1
3.652708333,2.2
4.152000000,2.3
4.591375000,2.4
5.018041667,3.1
5.496000000,3.2
5.944000000,3.3
6.383375000,3.4
6.856000000,4.1
7.296000000,4.2
7.752000000,4.3
8.175375000,4.4
8.640000000,5.1
9.114041667,5.2
9.552000000,5.3
10.008000000,5.4
10.456000000,6.1
10.896000000,6.2
11.360000000,6.3
11.816000000,6.4
12.264000000,7.1
12.698041667,7.2
13.168000000,7.3
13.600000000,7.4
14.063375000,8.1
14.512000000,8.2
14.992000000,8.3
15.696000000,8.4
16.440000000,9.1
17.135375000,9.2
17.903375000,9.3
18.678000000,9.4
19.427333333,10.1
20.178666667,10.2
20.934666667,10.3
21.658041667,10.4
22.428000000,11.1
23.165333333,11.2
23.968000000,11.3
24.677333333,11.4
25.412708333,12.1
26.180708333,12.2
26.945333333,12.3
27.701333333,12.4
28.399375000,13.1
29.166666667,13.2
29.932000000,13.3
30.688000000,13.4
31.448000000,14.1
32.154041667,14.2
32.922041667,14.3
33.679333333,14.4
34.448000000,15.1
35.140708333,15.2
35.908708333,15.3
36.676708333,15.4
37.431333333,16.1
38.182666667,16.2
38.920000000,16.3
39.663375000,16.4
40.346041667,17.1
40.938000000,17.2
41.543333333,17.3
42.133333333,17.4
42.720000000,18.1
43.332708333,18.2
43.933333333,18.3
44.540000000,18.4
45.124708333,19.1
45.722041667,19.2
46.319375000,19.3
46.916708333,19.4
47.514041667,20.1
48.111375000,20.2
48.708708333,20.3
49.306041667,20.4
49.903375000,21.1
50.540000000,21.2
51.146666667,21.3
51.752000000,21.4
52.344000000,22.1
52.952000000,22.2
53.552000000,22.3
54.152000000,22.4
54.768000000,23.1
55.328000000,23.2
55.912000000,23.3
56.504000000,23.4
57.152000000,24.1
57.744000000,24.2
58.352000000,24.3
58.920000000,24.4
59.552000000,25.1
60.160000000,25.2
60.744000000,25.3
61.336000000,25.4
61.944000000,26.1
62.532708333,26.2
