TIME,LABEL
0.002040816,1.3
0.452244898,1.4
0.902448980,2.1
1.353605442,2.2
1.804580499,2.3
2.256122449,1.4
2.707437642,2.1
3.159047619,2.2
3.609070295,1.4
4.060770975,2.1
4.512471655,2.2
4.964172336,1.4
5.414240363,2.1
5.865850340,2.2
6.316077098,1.4
6.766281179,2.1
7.218594104,2.2
7.669387755,2.3
8.119954649,1.4
8.571269841,2.1
9.022879819,2.2
9.472902494,1.4
9.924603175,2.1
10.376303855,2.2
10.828004535,1.4
11.278390023,2.1
11.730022676,2.2
12.180045351,1.4
12.631746032,2.1
13.083446712,2.2
13.535147392,1.4
13.985532880,2.1
14.435578231,1.4
14.887278912,2.1
15.338979592,2.2
15.938639456,1.4
16.538798186,1.2
17.138548753,1.3
17.738820862,1.4
18.338866213,2.1
18.938775510,2.2
19.538730159,2.3
20.138594104,2.4
20.738367347,1.3
21.338639456,1.4
21.938684807,2.1
22.538594104,2.2
23.138548753,2.3
23.738321995,1.3
24.338594104,1.4
24.938639456,2.1
25.538548753,2.2
26.138503401,2.3
26.738276644,1.3
27.338548753,1.4
27.938594104,2.1
28.538503401,2.2
29.138458050,2.3
29.738231293,1.3
30.338503401,1.4
30.938548753,2.1
31.538458050,2.2
32.138435374,1.2
32.738185941,1.3
33.338458050,1.4
33.938503401,2.1
34.538412698,2.2
35.138367347,2.3
35.888594104,3.1
36.639115646,3.3
37.388730159,4.1
38.138752834,4.2
38.888934240,4.3
39.638911565,4.4
40.388843537,5.1
41.138798186,5.2
41.889138322,5.3
42.638594104,5.4
43.388231293,4.1
44.138253968,4.2
44.888435374,4.3
45.638412698,4.4
46.388344671,5.1
47.138299320,5.2
47.888639456,5.3
48.638276644,4.1
49.388752834,4.2
50.139795918,4.3
50.889070295,4.4
51.638390023,5.1
52.388344671,5.2
53.138684807,5.3
53.888321995,4.1
54.638344671,4.2
55.388526077,4.3
56.138503401,4.4
56.888435374,5.1
57.638390023,5.2
58.388730159,5.3
59.138367347,4.1
59.888390023,4.2
60.638571429,4.3
61.388548753,4.4
62.138480726,5.1
