TIME,LABEL
0.000362812,1.1
0.451587302,1.2
0.902653061,1.3
1.354376417,1.4
1.805170068,2.1
2.256122449,2.2
2.707074830,2.3
3.158344671,2.4
3.609591837,1.2
4.060657596,1.3
4.512380952,1.4
4.963174603,2.1
5.414126984,2.2
5.865079365,2.3
6.316326531,1.2
6.767392290,1.3
7.219115646,1.4
7.669909297,2.1
8.120861678,2.2
8.571814059,2.3
9.023061224,1.2
9.474126984,1.3
9.925850340,1.4
10.376643991,2.1
10.827596372,2.2
11.278548753,2.3
11.729795918,1.2
12.180861678,1.3
12.632585034,1.4
13.083378685,2.1
13.534331066,2.2
13.985283447,2.3
14.436530612,1.2
14.887596372,1.3
15.339319728,1.4
15.940498866,2.1
16.539682540,2.2
17.139319728,2.3
17.738775510,3.2
18.338775510,3.3
18.938979592,3.4
19.539183673,4.1
20.139138322,4.2
20.739002268,4.3
21.338616780,4.4
21.939433107,5.1
22.539659864,5.2
23.139682540,5.3
23.739342404,2.3
24.338798186,3.2
24.938798186,3.3
25.539002268,3.4
26.139206349,4.1
26.739160998,4.2
27.339024943,4.3
27.938639456,4.4
28.539455782,5.1
29.139682540,5.2
29.739342404,2.3
30.338798186,3.2
30.938798186,3.3
31.539002268,3.4
32.139206349,4.1
32.739160998,4.2
33.339024943,4.3
33.938639456,4.4
34.539455782,5.1
35.139682540,5.2
35.888934240,5.4
36.638979592,6.2
37.388979592,6.3
38.138979592,6.4
38.888956916,7.1
39.639070295,7.2
40.389024943,7.3
41.139387755,7.4
41.889410431,6.3
42.639410431,6.4
43.389387755,7.1
44.139501134,7.2
44.889455782,7.3
45.639478458,6.3
46.389478458,6.4
47.139455782,7.1
47.889569161,7.2
48.639546485,6.2
49.389546485,6.3
50.139546485,6.4
50.889523810,7.1
51.639637188,7.2
52.389591837,7.3
53.139614512,6.3
53.889614512,6.4
54.639591837,7.1
55.389705215,7.2
56.139659864,7.3
56.889682540,6.3
57.639682540,6.4
58.389659864,7.1
59.139773243,7.2
59.889727891,7.3
60.639750567,6.3
61.389750567,6.4
62.139727891,7.1
