TIME,LABEL
0.042000000,1.1
0.480000000,1.2
0.936000000,1.3
1.380312500,1.4
1.842041667,2.1
2.286208333,2.2
2.747250000,2.3
3.211875000,2.4
3.663187500,3.1
4.098000000,3.2
4.566250000,3.3
5.008875000,3.4
5.461333333,4.1
5.881916667,4.2
6.368520833,4.3
6.812479167,4.4
7.258208333,5.1
7.683583333,5.2
8.178000000,5.3
8.604229167,5.4
9.042979167,6.1
9.503562500,6.2
9.967937500,6.3
10.429187500,6.4
10.864500000,7.1
11.309875000,7.2
11.752875000,7.3
12.218083333,7.4
12.672000000,8.1
13.103791667,8.2
13.569416667,8.3
14.022000000,8.4
14.472000000,9.1
14.910750000,9.2
15.492000000,9.3
16.083854167,9.4
16.695937500,10.1
17.307812500,10.2
17.893562500,10.3
18.487812500,10.4
19.080645833,11.1
19.667958333,11.2
20.267895833,11.3
20.874625000,11.4
21.479687500,12.1
22.095104167,12.2
22.701541667,12.3
23.305479167,12.4
23.892000000,13.1
24.480687500,13.2
25.110708333,13.3
25.675958333,13.4
26.303333333,14.1
26.885750000,14.2
27.506770833,14.3
28.095083333,14.4
28.679687500,15.1
29.312354167,15.2
29.910104167,15.3
30.483312500,15.4
31.095208333,16.1
31.691562500,16.2
32.274000000,16.3
32.911354167,16.4
33.486000000,17.1
34.093583333,17.2
34.713333333,17.3
35.358000000,17.4
36.108791667,18.1
36.864000000,18.2
37.632000000,18.3
38.357333333,18.4
39.122875000,19.1
39.873375000,19.2
40.634937500,19.3
41.383083333,19.4
42.101208333,20.1
42.879270833,20.2
43.605333333,20.3
44.397687500,20.4
45.118104167,21.1
45.864000000,21.2
46.639833333,21.3
47.389520833,21.4
48.092416667,22.1
48.872770833,22.2
49.580791667,22.3
50.360562500,22.4
51.093354167,23.1
51.869937500,23.2
52.621333333,23.3
53.361979167,23.4
54.095187500,24.1
54.876145833,24.2
55.607770833,24.3
56.343416667,24.4
57.071083333,25.1
57.853958333,25.2
58.598875000,25.3
59.334395833,25.4
60.086062500,26.1
60.841166667,26.2
61.619979167,26.3
62.359416667,26.4
