TIME,LABEL
0.060000000,1.1
0.804000000,2.1
1.518583333,2.2
2.306666667,2.3
3.064000000,2.4
3.825895833,3.1
4.557437500,3.2
5.331000000,3.3
6.069083333,3.4
6.804000000,4.1
7.533895833,4.2
8.316000000,4.3
9.064000000,4.4
9.807979167,5.1
10.556000000,5.2
11.324270833,5.3
12.068000000,5.4
12.820000000,6.1
13.557708333,6.2
14.325833333,6.3
15.056979167,6.4
15.824000000,7.1
16.577187500,7.2
17.316458333,7.3
18.068000000,7.4
18.812000000,8.1
19.568000000,8.2
20.316270833,8.3
21.064000000,8.4
21.799812500,9.1
22.559604167,9.2
23.316083333,9.3
24.064000000,9.4
24.820000000,10.1
25.324000000,10.2
25.796000000,10.3
26.232770833,10.4
26.663937500,11.1
27.127145833,11.2
27.596333333,11.3
28.042000000,11.4
28.490000000,12.1
28.949125000,12.2
29.400937500,12.3
29.845666667,12.4
30.295500000,13.1
30.744000000,13.2
31.178583333,13.3
31.659104167,13.4
32.096166667,14.1
32.532791667,14.2
32.989229167,14.3
33.450000000,14.4
33.906666667,15.1
34.328562500,15.2
34.808166667,15.3
35.256666667,15.4
35.706666667,16.1
36.160000000,16.2
36.599666667,16.3
37.063333333,16.4
37.506666667,17.1
37.963333333,17.2
38.397958333,17.3
38.856666667,17.4
39.313333333,18.1
39.770000000,18.2
40.300000000,18.3
40.888395833,18.4
41.472645833,19.1
42.078000000,19.2
42.696104167,19.3
43.278000000,19.4
43.890000000,20.1
44.486666667,20.2
45.086666667,20.3
45.688000000,20.4
46.259437500,21.1
46.865625000,21.2
47.474750000,21.3
48.080000000,21.4
48.667312500,22.1
49.260166667,22.2
49.904000000,22.3
50.488000000,22.4
51.076437500,23.1
51.690000000,23.2
52.293333333,23.3
52.885479167,23.4
53.476625000,24.1
54.083333333,24.2
54.660000000,24.3
55.285458333,24.4
55.874791667,25.1
56.480000000,25.2
57.088000000,25.3
57.690000000,25.4
58.293333333,26.1
58.880000000,26.2
59.473479167,26.3
60.088000000,26.4
60.684479167,27.1
61.296000000,27.2
61.885520833,27.3
62.472000000,27.4
