TIME,LABEL
0.050666667,1.1
0.640000000,1.2
1.255270833,1.3
1.841354167,1.4
2.459395833,2.1
3.052875000,2.2
3.639125000,2.3
4.260000000,2.4
4.844000000,3.1
5.435770833,3.2
6.052041667,3.3
6.640000000,3.4
7.263291667,4.1
7.857666667,4.2
8.461145833,4.3
9.060479167,4.4
9.659375000,5.1
10.255479167,5.2
10.848000000,5.3
11.449916667,5.4
12.052166667,6.1
12.664000000,6.2
13.255583333,6.3
13.882645833,6.4
14.441020833,7.1
15.062833333,7.2
15.660375000,7.3
16.260541667,7.4
16.840000000,8.1
17.456000000,8.2
18.065187500,8.3
18.679187500,8.4
19.244062500,9.1
19.864000000,9.2
20.561562500,9.3
21.310666667,9.4
22.042791667,10.1
22.824000000,10.2
23.521833333,10.3
24.307187500,10.4
25.059000000,11.1
25.792395833,11.2
26.571000000,11.3
27.315000000,11.4
28.043187500,12.1
28.790937500,12.2
29.559333333,12.3
30.323229167,12.4
31.068000000,13.1
31.822500000,13.2
32.546625000,13.3
33.299250000,13.4
34.058833333,14.1
34.821000000,14.2
35.571375000,14.3
36.290437500,14.4
37.069083333,15.1
37.839000000,15.2
38.541000000,15.3
39.326687500,15.4
40.074000000,16.1
40.785770833,16.2
41.543604167,16.3
42.290000000,16.4
43.041791667,17.1
43.809041667,17.2
44.565437500,17.3
45.216000000,17.4
45.626666667,18.1
46.082333333,18.2
46.511187500,18.3
46.961541667,18.4
47.405958333,19.1
47.899875000,19.2
48.296729167,19.3
48.761770833,19.4
49.218958333,20.1
49.654395833,20.2
50.128750000,20.3
50.562520833,20.4
51.009229167,21.1
51.478354167,21.2
51.946229167,21.3
52.397166667,21.4
52.820270833,22.1
53.277312500,22.2
53.739312500,22.3
54.206291667,22.4
54.638000000,23.1
55.102729167,23.2
55.544000000,23.3
55.993291667,23.4
56.447208333,24.1
56.878416667,24.2
57.335854167,24.3
57.758479167,24.4
58.262354167,25.1
58.702333333,25.2
59.144312500,25.3
59.624250000,25.4
60.075562500,26.1
60.503312500,26.2
60.940750000,26.3
61.411187500,26.4
61.853500000,27.1
62.326166667,27.2
62.761895833,27.3
