TIME,LABEL
0.104000000,1.1
0.548312500,19.3
0.994541667,19.4
1.448916667,20.1
1.883166667,20.2
2.322541667,20.3
2.778541667,20.4
3.245000000,21.1
3.682541667,21.2
4.121291667,21.3
4.572895833,21.4
5.044125000,22.1
5.466541667,22.2
5.907000000,22.3
6.360541667,22.4
6.807541667,23.1
7.239125000,23.2
7.706000000,23.3
8.130541667,23.4
8.607604167,24.1
9.050541667,24.2
9.492958333,24.3
9.944645833,24.4
10.378916667,25.1
10.829541667,25.2
11.274520833,25.3
11.725083333,25.4
12.190729167,26.1
12.628104167,26.2
13.057541667,26.3
13.501645833,26.4
13.946541667,27.1
14.394541667,27.2
14.831416667,27.3
15.362666667,1.3
15.960020833,1.2
16.552708333,1.1
17.144208333,1.2
17.746687500,1.4
18.297125000,2.1
18.927354167,2.2
19.514541667,2.3
20.108020833,2.4
20.724020833,3.1
21.307354167,3.2
21.920479167,3.3
22.495854167,3.4
23.068854167,4.1
23.646729167,4.2
24.260208333,4.3
24.868020833,4.4
25.446020833,5.1
26.052875000,5.2
26.657333333,5.3
27.238687500,5.4
27.831354167,6.1
28.426604167,6.2
29.032687500,6.3
29.610375000,6.4
30.208541667,7.1
30.804104167,7.2
31.392500000,7.3
31.980104167,7.4
32.582166667,8.1
33.188854167,8.2
33.784208333,8.3
34.372416667,8.4
34.924645833,1.4
35.706000000,2.1
36.452687500,10.2
37.198687500,10.3
37.985354167,10.4
38.679937500,11.1
39.424625000,11.2
40.155062500,11.3
40.891729167,11.4
41.638208333,12.1
42.400604167,12.2
43.145354167,12.3
43.889291667,12.4
44.631708333,13.1
45.360937500,13.2
46.125354167,13.3
46.848187500,13.4
47.574104167,14.1
48.311750000,14.2
49.072229167,14.3
49.830000000,14.4
50.540125000,15.1
51.296270833,15.2
52.060458333,15.3
52.792104167,15.4
53.535437500,16.1
54.279187500,16.2
55.003062500,16.3
55.728208333,16.4
56.475458333,17.1
57.264104167,17.2
57.992020833,17.3
58.725354167,17.4
59.443895833,18.1
60.191166667,17.1
60.960000000,17.2
61.707729167,17.3
62.441062500,17.4
