TIME,LABEL
0.333061224,1.1
1.123265306,1.2
1.854693878,1.3
2.554943311,1.4
3.326258503,2.1
4.113945578,2.2
4.881587302,2.3
5.617596372,2.4
6.339024943,3.1
7.099387755,3.2
7.832766440,3.3
8.574263039,3.4
9.297687075,4.1
10.075895692,4.2
10.844149660,4.3
11.595238095,4.4
12.347596372,5.1
13.064263039,5.2
13.812539683,5.3
14.557233560,5.4
15.347573696,6.1
16.101405896,6.2
16.872176871,6.3
17.571292517,6.4
18.316190476,7.1
19.056099773,7.3
19.835782313,7.4
20.577664399,8.1
21.333333333,8.2
22.081496599,8.3
22.801859410,8.4
23.564149660,9.1
24.320000000,9.2
25.076145125,9.3
25.521632653,9.4
25.966439909,10.1
26.376916100,10.2
26.820748299,10.3
27.300136054,10.4
27.777278912,11.1
28.215873016,11.2
28.664013605,11.3
29.109365079,11.4
29.559841270,12.1
30.025192744,12.2
30.450793651,27.3
30.913015873,12.3
31.361451247,12.4
31.812063492,13.1
32.265464853,13.2
32.697210884,13.3
33.166666667,13.4
33.607256236,14.1
34.056870748,14.2
34.532222222,14.3
34.995124717,14.4
35.453832200,15.1
35.899591837,15.2
36.339138322,15.3
36.809682540,15.4
37.221587302,16.1
37.698639456,16.2
38.134149660,16.3
38.603174603,16.4
39.045079365,17.1
39.498503401,17.2
39.988004535,17.3
40.429523810,17.4
41.097097506,18.1
41.720453515,18.2
42.373764172,18.3
42.920634921,18.4
43.519274376,19.1
44.099591837,19.2
44.715578231,19.3
45.307006803,19.4
45.904489796,20.1
46.514512472,20.2
47.107551020,20.3
47.705396825,20.4
48.314784580,21.1
48.950544218,21.2
49.568117914,21.3
50.126077098,21.4
50.729682540,22.1
51.316099773,22.2
51.925623583,22.3
52.523469388,22.4
53.131224490,23.1
53.703061224,23.2
54.330680272,23.3
54.923764172,23.4
55.514852608,24.1
56.092675737,24.2
56.688027211,24.3
57.324648526,24.4
57.912947846,25.1
58.544739229,25.2
59.140022676,25.3
59.715918367,25.4
60.313832200,26.1
60.911746032,26.2
61.521269841,26.3
62.119183673,26.4
62.725170068,27.1
