TIME,LABEL
0.095333333,1.2
0.549041667,1.3
1.000000000,1.4
1.452000000,1.3
1.901000000,1.3
2.353625000,1.2
2.807333333,1.3
3.258291667,1.4
3.707250000,1.2
4.158166667,1.2
4.611875000,1.3
5.062833333,1.4
5.514833333,1.3
5.963833333,1.3
6.415000000,1.2
6.862500000,1.3
7.313500000,1.4
7.758000000,1.2
8.216000000,1.3
8.659020833,1.3
9.111645833,1.2
9.565354167,1.3
10.022833333,1.4
10.465270833,1.2
10.916187500,1.2
11.372000000,1.3
11.820854167,1.4
12.271520833,1.2
12.721854167,1.3
13.173020833,1.2
13.640666667,1.3
14.071666667,2.1
14.531666667,2.2
14.976000000,10.3
15.562979167,10.4
16.186895833,11.1
16.780979167,11.2
17.372333333,11.3
17.973333333,11.4
18.563979167,12.1
19.157333333,12.2
19.778083333,12.3
20.388666667,12.4
20.975000000,13.1
21.578979167,13.2
22.175645833,13.3
22.792000000,13.4
23.379416667,14.1
23.967104167,14.2
24.574312500,14.3
25.164375000,14.4
25.764395833,15.1
26.377125000,15.2
26.962604167,15.3
27.570666667,15.4
28.176416667,16.1
28.771500000,16.2
29.369541667,16.3
29.969333333,16.4
30.561645833,17.1
31.178000000,17.2
31.775333333,17.3
32.384000000,17.4
32.962083333,18.1
33.584937500,18.2
34.164000000,1.1
34.756875000,1.2
35.481000000,2.3
36.215333333,3.1
36.953000000,3.2
37.712000000,2.3
38.446333333,3.1
39.213375000,2.3
39.947708333,3.1
40.710000000,3.2
41.454000000,2.3
42.222000000,3.3
42.977312500,3.4
43.715333333,4.1
44.457000000,4.2
45.197875000,4.3
45.966000000,4.4
46.713000000,5.1
47.469000000,5.2
48.212875000,5.3
48.951750000,5.4
49.710666667,6.1
50.457000000,6.2
51.197541667,6.3
51.955333333,6.4
52.711333333,7.1
53.439687500,7.2
54.189000000,7.3
54.950125000,7.4
55.716666667,8.1
56.454000000,8.2
57.214666667,8.3
57.942354167,8.4
58.716000000,9.1
59.472000000,9.2
60.192000000,9.3
60.960000000,1.3
61.708250000,1.4
62.468000000,2.1
