TIME,LABEL
0.122083333,1.2
0.737458333,2.1
1.333416667,2.2
1.944937500,2.3
2.525250000,2.4
3.113479167,3.1
3.712291667,3.2
4.350458333,3.3
4.941687500,3.4
5.569437500,4.1
6.185395833,4.2
6.795083333,4.3
7.403854167,4.4
7.994104167,5.1
8.603666667,5.2
9.233770833,5.3
9.856125000,5.4
10.452187500,6.1
11.062395833,6.2
11.717500000,6.3
12.317145833,6.4
12.900000000,7.1
13.493333333,7.2
14.104062500,7.3
14.695125000,7.4
15.319500000,8.1
15.885270833,8.2
16.564229167,8.3
17.141270833,8.4
17.745708333,9.1
18.366541667,9.2
19.005062500,9.3
19.580000000,9.4
20.288000000,2.4
20.990583333,3.1
21.805104167,3.2
22.540187500,3.3
23.336083333,3.4
24.053333333,4.1
24.821645833,4.2
25.560354167,4.3
26.352020833,4.4
27.050416667,5.1
27.822041667,5.2
28.563812500,5.3
29.317520833,5.4
30.064437500,6.1
30.843166667,6.2
31.560791667,6.3
32.320812500,6.4
33.101666667,7.1
33.851333333,7.2
34.601208333,7.3
35.360979167,7.4
36.093020833,8.1
36.840333333,8.2
37.587645833,8.3
38.389541667,8.4
39.143958333,9.1
39.871937500,9.2
40.604312500,9.3
41.361687500,9.4
42.117562500,10.1
42.877541667,10.2
43.661229167,10.3
44.400875000,10.4
45.072500000,10.1
45.546500000,10.2
45.992000000,10.3
46.442458333,10.4
46.889479167,11.1
47.356250000,11.2
47.819687500,11.3
48.276687500,11.4
48.701916667,12.1
49.170666667,12.2
49.605125000,12.3
50.049875000,12.4
50.514500000,13.1
50.964500000,13.2
51.427687500,13.3
51.879791667,13.4
52.344000000,14.1
52.788000000,14.2
53.229312500,14.3
53.700291667,14.4
54.153083333,15.1
54.611500000,15.2
55.060000000,15.3
55.509000000,15.4
55.995479167,16.1
56.413500000,16.2
56.879645833,16.3
57.330333333,16.4
57.755937500,17.1
58.223916667,17.2
58.673000000,17.3
59.131187500,17.4
59.597187500,18.1
60.043104167,1.1
60.510895833,1.2
60.970291667,1.3
61.410500000,1.4
61.867645833,2.1
62.288479167,2.2
62.750854167,2.3
