TIME,LABEL
0.738412698,1.2
1.193469388,1.3
1.645464853,2.3
2.123083900,2.4
2.560000000,3.1
3.021496599,3.2
3.461587302,3.3
3.916190476,3.4
4.362448980,4.1
4.819591837,4.2
5.265079365,4.3
5.712108844,4.4
6.166371882,5.1
6.615646259,5.2
7.049070295,5.3
7.494535147,5.4
7.953696145,6.1
8.396780045,6.2
8.873242630,6.3
9.301405896,6.4
9.736893424,7.1
10.232517007,7.2
10.673197279,7.3
11.147755102,7.4
11.572721088,8.1
12.052154195,8.2
12.501201814,8.3
12.968367347,8.4
13.378231293,9.1
13.864875283,9.2
14.311836735,9.3
14.754149660,9.4
15.279977324,10.1
15.884625850,10.2
16.508253968,10.3
17.112743764,10.4
17.702471655,11.1
18.327074830,11.2
18.920544218,11.3
19.541768707,11.4
20.166530612,12.1
20.760839002,12.2
21.351700680,12.3
21.945941043,12.4
22.577777778,13.1
23.144761905,13.2
23.778684807,13.3
24.384580499,13.4
24.917777778,14.1
25.600000000,14.2
26.211700680,14.3
26.804784580,14.4
27.417687075,15.1
28.022857143,15.2
28.641088435,15.3
29.235374150,15.4
29.861587302,16.1
30.471836735,16.2
31.080634921,16.3
31.652426304,16.4
32.262448980,17.1
32.875102041,17.2
33.482698413,17.3
34.089659864,17.4
34.692517007,18.1
35.387936508,18.2
36.195918367,18.3
36.916984127,18.4
37.644376417,19.1
38.396371882,19.2
39.153242630,19.3
39.896235828,19.4
40.650884354,20.1
41.385124717,20.2
42.164648526,20.3
42.888798186,20.4
43.645510204,21.1
44.392176871,21.2
45.161360544,21.3
45.890907029,21.4
46.660113379,22.1
47.412970522,22.2
48.191564626,22.3
48.942176871,22.4
49.737142857,23.1
50.521564626,23.2
51.269659864,23.3
52.044625850,23.4
52.794331066,24.1
53.568843537,24.2
54.312312925,24.3
55.068775510,24.4
55.832426304,25.1
56.620181406,25.2
57.366258503,25.3
58.124671202,25.4
58.908503401,26.1
59.667891156,26.2
60.477619048,26.3
61.248344671,26.4
61.999795918,27.1
62.760702948,27.2
