TIME,LABEL
0.099886621,1.1
0.550204082,1.2
1.001632653,1.3
1.453174603,1.4
1.903106576,2.1
2.355102041,1.1
2.805419501,1.2
3.256848073,1.3
3.708390023,1.4
4.158775510,1.1
4.609092971,1.2
5.060521542,1.3
5.512063492,1.4
5.963174603,1.1
6.413492063,1.2
6.864920635,1.3
7.316462585,1.4
7.768253968,1.1
8.218571429,1.2
8.670000000,1.3
9.121541950,1.4
9.572789116,1.1
10.023106576,1.2
10.474535147,1.3
10.926077098,1.4
11.377414966,1.1
11.827732426,1.2
12.279160998,1.3
12.730702948,1.4
13.181859410,1.1
13.632176871,1.2
14.083605442,1.3
14.535147392,1.4
14.985941043,2.2
15.557460317,2.4
16.157460317,3.1
16.757369615,3.2
17.357482993,3.3
17.957414966,3.2
18.557528345,3.3
19.157551020,3.1
19.757460317,3.2
20.357573696,3.3
20.957505669,3.2
21.557528345,3.1
22.157437642,3.2
22.757551020,3.3
23.357482993,3.2
23.957505669,3.1
24.557414966,3.2
25.157528345,3.3
25.757460317,3.2
26.357482993,3.1
26.957392290,3.2
27.557505669,3.3
28.157437642,3.2
28.757460317,3.1
29.357369615,3.2
29.957482993,3.3
30.557414966,3.2
31.157437642,3.1
31.757346939,3.2
32.357460317,3.3
32.957392290,3.2
33.557414966,3.1
34.157324263,3.2
34.757437642,3.3
35.433650794,3.2
36.184489796,4.1
36.933832200,4.2
37.683809524,4.3
38.434285714,4.4
39.183673469,5.1
39.933469388,5.2
40.685714286,4.1
41.433673469,4.2
42.183650794,4.3
42.934126984,4.4
43.683514739,5.1
44.433310658,5.2
45.182675737,4.2
45.932653061,4.3
46.683129252,4.4
47.432517007,5.1
48.182312925,5.2
48.934557823,4.1
49.682517007,4.2
50.432494331,4.3
51.182970522,4.4
51.933968254,5.1
52.681723356,4.2
53.431700680,4.3
54.182176871,4.4
54.931564626,5.1
55.681360544,5.2
56.433605442,4.1
57.181564626,4.2
57.931541950,4.3
58.682018141,4.4
59.431405896,5.1
60.183219955,5.3
60.932426304,5.4
61.682721088,6.1
62.434829932,6.2
