TIME,LABEL
0.131020408,1.1
0.881179138,1.2
1.631292517,1.3
2.381224490,1.4
3.130952381,2.1
3.881043084,2.2
4.630884354,2.3
5.381836735,2.4
6.132018141,1.2
6.882131519,1.3
7.632063492,1.4
8.381791383,2.1
9.131882086,2.2
9.881723356,2.3
10.632675737,2.4
11.382857143,1.2
12.132970522,1.3
12.882902494,1.4
13.632630385,2.1
14.382721088,2.2
15.132562358,2.3
15.883514739,2.4
16.633696145,1.2
17.383809524,1.3
18.133741497,1.4
18.883469388,2.1
19.633560091,2.2
20.383401361,2.3
21.132517007,2.4
21.881541950,1.2
22.634648526,1.3
23.384580499,1.4
24.134308390,2.1
24.881859410,2.2
25.389569161,2.3
25.840884354,2.4
26.291473923,3.3
26.742993197,3.4
27.194285714,4.1
27.645034014,4.2
28.096213152,4.3
28.547551020,2.4
28.998140590,3.3
29.449659864,3.4
29.900952381,4.1
30.351700680,4.2
30.803038549,2.4
31.253628118,3.3
31.705147392,3.4
32.156439909,4.1
32.607188209,4.2
33.058526077,2.4
33.509115646,3.3
33.960634921,3.4
34.411927438,4.1
34.862675737,4.2
35.314013605,2.4
35.764603175,3.3
36.216122449,3.4
36.667414966,4.1
37.118163265,4.2
37.569501134,2.4
38.020090703,3.3
38.471609977,3.4
38.922902494,4.1
39.373650794,4.2
39.824988662,2.4
40.352925170,3.3
40.952448980,3.4
41.552358277,4.1
42.152290249,4.2
42.752222222,5.1
43.352312925,5.2
43.952335601,5.3
44.552471655,5.4
45.152834467,6.1
45.752380952,3.4
46.352290249,4.1
46.952222222,4.2
47.552154195,5.1
48.152244898,5.2
48.752267574,5.3
49.352403628,5.4
49.952766440,6.1
50.552312925,3.4
51.152222222,4.1
51.752154195,4.2
52.352086168,5.1
52.952176871,5.2
53.552199546,5.3
54.152335601,5.4
54.752698413,6.1
55.352244898,3.4
55.952154195,4.1
56.552086168,4.2
57.152018141,5.1
57.752108844,5.2
58.352131519,5.3
58.952267574,5.4
59.552630385,6.1
60.152176871,3.4
60.752086168,4.1
61.352018141,4.2
61.951950113,5.1
62.552040816,5.2
