TIME,LABEL
0.115124717,1.1
0.714739229,1.2
1.314557823,1.4
1.914671202,2.1
2.514671202,2.2
3.114807256,2.3
3.714761905,2.4
4.314920635,3.1
4.914557823,1.2
5.514376417,1.4
6.114489796,2.1
6.714489796,2.2
7.314625850,2.3
7.914580499,2.4
8.514217687,1.2
9.114036281,1.4
9.714149660,2.1
10.314149660,2.2
10.914285714,2.3
11.514263039,1.1
12.113877551,1.2
12.713696145,1.4
13.313809524,2.1
13.913809524,2.2
14.513945578,2.3
15.113922902,1.1
15.713537415,1.2
16.313356009,1.4
16.913469388,2.1
17.513469388,2.2
18.113605442,2.3
18.713560091,2.4
19.313197279,1.2
19.913015873,1.4
20.636009070,2.1
21.386666667,2.2
22.135873016,2.3
22.886394558,2.4
23.636054422,3.3
24.385850340,3.4
25.135873016,4.1
25.885850340,4.2
26.635918367,4.3
27.386598639,2.2
28.135804989,2.3
28.886326531,2.4
29.635986395,3.3
30.385782313,3.4
31.135804989,4.1
31.885782313,4.2
32.635850340,4.3
33.386530612,2.2
34.135736961,2.3
34.886258503,2.4
35.635918367,3.3
36.385714286,3.4
37.135736961,4.1
37.885714286,4.2
38.635782313,4.3
39.386462585,2.2
40.135668934,2.3
40.886190476,2.4
41.635850340,3.3
42.385646259,3.4
43.135668934,4.1
43.885646259,4.2
44.635714286,4.3
45.233809524,4.4
45.684444444,5.2
46.136530612,5.3
46.587619048,5.4
47.038979592,6.1
47.489569161,6.2
47.940952381,6.3
48.392222222,6.4
48.843832200,7.1
49.294489796,5.2
49.746575964,5.3
50.197664399,5.4
50.649024943,6.1
51.099614512,6.2
51.550997732,6.3
52.002267574,6.4
52.453877551,7.1
52.903537415,5.2
53.355011338,5.3
53.806077098,5.4
54.257142857,6.1
54.708072562,6.2
55.159047619,6.3
55.610612245,6.4
56.061269841,7.1
56.511927438,5.2
56.964013605,5.3
57.415102041,5.4
57.866462585,6.1
58.317052154,6.2
58.768435374,6.3
59.219705215,6.4
59.671315193,7.1
60.121972789,5.2
60.574058957,5.3
61.025147392,5.4
61.476507937,6.1
61.927097506,6.2
62.378480726,6.3
62.829750567,6.4
