TIME,LABEL
0.000204082,1.1
0.600566893,1.3
1.200249433,1.4
1.800340136,2.2
2.400408163,2.3
3.000476190,2.4
3.600408163,3.1
4.200793651,1.3
4.800476190,1.4
5.400566893,2.2
6.000634921,2.3
6.600702948,2.4
7.201088435,1.3
7.800770975,1.4
8.400861678,2.2
9.000929705,2.3
9.600997732,2.4
10.201383220,1.3
10.801065760,1.4
11.401156463,2.2
12.001224490,2.3
12.601292517,2.4
13.201678005,1.3
13.801360544,1.4
14.401451247,2.2
15.001519274,2.3
15.601587302,2.4
16.201972789,1.3
16.801655329,1.4
17.401746032,2.2
18.001814059,2.3
18.601882086,2.4
19.202267574,1.3
19.801950113,1.4
20.402040816,2.2
21.150612245,3.3
21.900544218,3.4
22.650589569,4.1
23.400544218,4.2
24.150430839,4.3
24.900612245,4.4
25.650498866,5.1
26.400362812,5.2
27.150793651,5.3
27.900408163,5.4
28.650544218,6.1
29.400612245,4.1
30.150566893,4.2
30.900453515,4.3
31.650634921,4.4
32.400521542,5.1
33.150385488,5.2
33.900816327,5.3
34.650430839,5.4
35.400498866,4.1
36.150453515,4.2
36.900340136,4.3
37.650521542,4.4
38.400408163,5.1
39.150272109,5.2
39.900702948,5.3
40.650317460,5.4
41.400385488,4.1
42.150340136,4.2
42.900226757,4.3
43.650408163,4.4
44.400294785,5.1
45.150158730,5.2
45.601564626,5.3
46.052471655,6.4
46.503990930,7.1
46.955102041,7.2
47.405895692,7.3
47.857278912,7.4
48.308639456,8.1
48.759863946,8.2
49.210476190,8.3
49.662018141,7.1
50.113129252,7.2
50.563922902,7.3
51.015306122,7.4
51.466666667,8.1
51.917891156,8.2
52.369433107,7.1
52.820544218,7.2
53.271337868,7.3
53.722721088,7.4
54.174081633,8.1
54.625306122,8.2
55.076848073,7.1
55.527959184,7.2
55.978752834,7.3
56.430136054,7.4
56.881496599,8.1
57.332721088,8.2
57.784263039,7.1
58.235374150,7.2
58.686167800,7.3
59.137551020,7.4
59.588911565,8.1
60.040136054,8.2
60.489047619,7.1
60.941950113,7.2
61.393582766,7.3
61.844965986,7.4
62.296326531,8.1
