,rt,stimulus,response,trial_type,trial_index,time_elapsed,internal_node_id,batSong,userID,lang,timeEnd,timeBegin,sequenceTrials,nodeIndex,tIndex,studyID,uniqueID,offset,nChanges,initialOffset,performance,infoUser,study_result,comp_result,view_history,success,timeout,failed_images,failed_audio,failed_video,rtAudio,baseLatencyBegin,baseLatencyEnd,outputLatencyBegin,outputLatencyEnd,question_order,userIDAlicia
0,2429.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,2432.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/floorplanNoLie/floorplanNoLieModifiedLow.mp3,m12_100,fi,1744035882889.0,1744035861399.0,"bat,tapping",2,5,m12,null,,,,,,25530,data.txt,,,,,,,,,,,,,
1,12633.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,15067.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/floorplanNoLie/floorplanNoLieModifiedLow.mp3,m12_100,fi,1744035882889.0,1744035861399.0,"bat,tapping",2,5,m12,null,0.0,1.0,7.0,,,25530,data.txt,,,,,,,,,,,,,
2,4451.0,,{'Q0': 0},survey-likert,2.0,19522.0,0.0-0.0-2.0,,m12_100,fi,1744035882889.0,1744035861399.0,"bat,tapping",2,5,m12,null,,,,,,25530,data.txt,,,,,,,,,,,,[0],
3,1673.0,,{'Q0': 0},survey-likert,3.0,21197.0,0.0-0.0-3.0,,m12_100,fi,1744035882889.0,1744035861399.0,"bat,tapping",2,5,m12,null,,,,,,25530,data.txt,,,,,,,,,,,,[0],
0,4027.0,,,instructions,0.0,4038.0,0.0-0.0-0.0,,m12_100,fi,1747598509686.0,1747598504425.0,"tapping,bat",0.0,0.0,m12,null,,,,,,29594,data.txt,"[{'page_index': 0, 'viewing_time': 4027}]",,,,,,,,,,,,
0,1859,"<a href=""https://mmbb.ltdk.helsinki.fi/utils/Privacy_Notice_MMBB_fi.pdf"" target=""_blank"">Tietosuojailmoitus<span class=""new-tab-icon"" aria-hidden=""true""> 🔗</span></a><br><a href=""https://mmbb.ltdk.helsinki.fi/utils/informed_consent_fi.pdf"" target=""_blank"">Tiedote Tutkimuksesta<span class=""new-tab-icon"" aria-hidden=""true""> 🔗</span></a>",0.0,html-button-response,0.0,1865.0,0.0-0.0-0.0,,125,fi,1757790937419.0,1757790895811.0,"tapping,bat",1,0,m12,null,,,,,,37496,data.txt,,,,,,,,,,,,,
1,,,,preload,1.0,3388.0,0.0-0.0-1.0,,125,fi,1757790937419.0,1757790895811.0,"tapping,bat",1,0,m12,null,,,,,,37496,data.txt,,True,False,[],[],[],,,,,,,
2,13843,,,instructions,2.0,17233.0,0.0-0.0-2.0,,125,fi,1757790937419.0,1757790895811.0,"tapping,bat",1,0,m12,null,,,,,,37496,data.txt,"[{'page_index': 0, 'viewing_time': 2096}, {'page_index': 1, 'viewing_time': 4394}, {'page_index': 2, 'viewing_time': 4744}, {'page_index': 3, 'viewing_time': 2607}]",,,,,,,,,,,,
3,15067,,,instructions,3.0,32303.0,0.0-0.0-4.0-0.0,,125,fi,1757790937419.0,1757790895811.0,"tapping,bat",1,0,m12,null,,,,,,37496,data.txt,"[{'page_index': 0, 'viewing_time': 5309}, {'page_index': 1, 'viewing_time': 1604}, {'page_index': 2, 'viewing_time': 1638}, {'page_index': 3, 'viewing_time': 1671}, {'page_index': 4, 'viewing_time': 2073}, {'page_index': 5, 'viewing_time': 2772}]",,,,,,,,,,,,
4,[5759.999999999998],./songs/movementTapAudio/elPesebre.mp3,0.0,audio-button-response,4.0,38053.0,0.0-0.0-6.0-0.0,,125,fi,1757790937419.0,1757790895811.0,"tapping,bat",1,0,m12,null,,,,,,37496,data.txt,,,,,,,[5743.299999952316],0.042666666666666665,0.042666666666666665,0.085,0.085,,
5,2356,Auttaako joku sinua tämän tehtävän suorittamisessa?,0.0,html-button-response,5.0,41211.0,0.0-0.0-7.0,,125,fi,1757790937419.0,1757790895811.0,"tapping,bat",1,0,m12,null,,,,,,37496,data.txt,,,,,,,,,,,,,
0,,,,html-button-response,0.0,1008.0,0.0-0.0-0.0,,m12_100,fi,1747060045679.0,1747060044391.0,"tapping,bat",4,0,m12,null,,,,,,28673,data.txt,,,,,,,,,,,,,
0,2354.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,2357.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/eclecticElectric/eclecticElectricModifiedLow.mp3,108,fi,1752612405787.0,1752612355177.0,"tapping,bat",3,7,m12,null,,,,,,35555,data.txt,,,,,,,,,,,,,
1,44780.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,47140.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/eclecticElectric/eclecticElectricModifiedLow.mp3,108,fi,1752612405787.0,1752612355177.0,"tapping,bat",3,7,m12,null,2.0,13.0,1.0,,,35555,data.txt,,,,,,,,,,,,,
2,1930.0,,{'Q0': 2},survey-likert,2.0,49076.0,0.0-0.0-2.0,,108,fi,1752612405787.0,1752612355177.0,"tapping,bat",3,7,m12,null,,,,,,35555,data.txt,,,,,,,,,,,,[0],
3,1144.0,,{'Q0': 1},survey-likert,3.0,50227.0,0.0-0.0-3.0,,108,fi,1752612405787.0,1752612355177.0,"tapping,bat",3,7,m12,null,,,,,,35555,data.txt,,,,,,,,,,,,[0],
0,1232.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,1235.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/softSand/softSandModifiedLow.mp3,m12_100,fi,1745571273200.0,1745571262371.0,"tapping,bat",3,6,m12,null,,,,,,28013,data.txt,,,,,,,,,,,,,
1,6658.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,7894.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/softSand/softSandModifiedLow.mp3,m12_100,fi,1745571273200.0,1745571262371.0,"tapping,bat",3,6,m12,null,1.0,1.0,6.0,,,28013,data.txt,,,,,,,,,,,,,
2,1910.0,,{'Q0': 2},survey-likert,2.0,9806.0,0.0-0.0-2.0,,m12_100,fi,1745571273200.0,1745571262371.0,"tapping,bat",3,6,m12,null,,,,,,28013,data.txt,,,,,,,,,,,,[0],
3,715.0,,{'Q0': 2},survey-likert,3.0,10524.0,0.0-0.0-3.0,,m12_100,fi,1745571273200.0,1745571262371.0,"tapping,bat",3,6,m12,null,,,,,,28013,data.txt,,,,,,,,,,,,[0],
0,2286.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,2290.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/lettuce/lettuceModifiedLow.mp3,108,fi,1752612258773.0,1752612201269.0,"tapping,bat",3,4,m12,null,,,,,,35552,data.txt,,,,,,,,,,,,,
1,51280.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,53572.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/lettuce/lettuceModifiedLow.mp3,108,fi,1752612258773.0,1752612201269.0,"tapping,bat",3,4,m12,null,1.0,20.0,7.0,,,35552,data.txt,,,,,,,,,,,,,
2,2438.0,,{'Q0': 2},survey-likert,2.0,56015.0,0.0-0.0-2.0,,108,fi,1752612258773.0,1752612201269.0,"tapping,bat",3,4,m12,null,,,,,,35552,data.txt,,,,,,,,,,,,[0],
3,1172.0,,{'Q0': 1},survey-likert,3.0,57194.0,0.0-0.0-3.0,,108,fi,1752612258773.0,1752612201269.0,"tapping,bat",3,4,m12,null,,,,,,35552,data.txt,,,,,,,,,,,,[0],
0,1336.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,1339.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/eclecticElectric/eclecticElectricModifiedLow.mp3,m12_100,fi,1745571330916.0,1745571273947.0,"tapping,bat",3,7,m12,null,,,,,,28014,data.txt,,,,,,,,,,,,,
1,53379.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,54720.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/eclecticElectric/eclecticElectricModifiedLow.mp3,m12_100,fi,1745571330916.0,1745571273947.0,"tapping,bat",3,7,m12,null,4.0,11.0,1.0,,,28014,data.txt,,,,,,,,,,,,,
2,1233.0,,{'Q0': 2},survey-likert,2.0,55955.0,0.0-0.0-2.0,,m12_100,fi,1745571330916.0,1745571273947.0,"tapping,bat",3,7,m12,null,,,,,,28014,data.txt,,,,,,,,,,,,[0],
3,749.0,,{'Q0': 2},survey-likert,3.0,56707.0,0.0-0.0-3.0,,m12_100,fi,1745571330916.0,1745571273947.0,"tapping,bat",3,7,m12,null,,,,,,28014,data.txt,,,,,,,,,,,,[0],
0,2700.0,,,instructions,0.0,2705.0,0.0-0.0-0.0,,125,fi,1757791278919.0,1757791159131.0,"tapping,bat",3,0,m12,null,,,,,,37498,data.txt,"[{'page_index': 0, 'viewing_time': 2699}]",,,,,,,,,,,,
1,116439.0,,,instructions,1.0,119146.0,0.0-0.0-1.0,,125,fi,1757791278919.0,1757791159131.0,"tapping,bat",3,0,m12,null,,,,,,37498,data.txt,"[{'page_index': 0, 'viewing_time': 6497}, {'page_index': 1, 'viewing_time': 24043}, {'page_index': 2, 'viewing_time': 3760}, {'page_index': 3, 'viewing_time': 4494}, {'page_index': 4, 'viewing_time': 17946}, {'page_index': 5, 'viewing_time': 14569}, {'page_index': 6, 'viewing_time': 12849}, {'page_index': 7, 'viewing_time': 13066}, {'page_index': 8, 'viewing_time': 5915}, {'page_index': 9, 'viewing_time': 8823}, {'page_index': 10, 'viewing_time': 4478}]",,,,,,,,,,,,
0,817.0,,,instructions,0.0,820.0,0.0-0.0-0.0,,142,fi,1759936311046.0,1759936309858.0,"tapping,bat",0.0,0.0,m12,null,,,,,,38014,data.txt,"[{'page_index': 0, 'viewing_time': 816}]",,,,,,,,,,,,
0,581.0,"<img id=""logoLoading"" src=""./images/loading2.gif""><br>Loading...",0,html-button-response,0.0,590.0,0.0-0.0-0.0,./songs/beatProductionAudio/beatModified/baseSongs/training/trainingBaseModified.mp3,141,fi,1751654894544.0,1751654863565.0,"bat,tapping",2,1,m12,null,,,,,,34276,data.txt,,,,,,,,,,,,,
1,23358.0,"<div id=""titleBAT"">Säädä tahdistusta<br></div><div id=""loading-bar""><div id=""progress-bar""></div></div><div class=""circle""><div id=""firstRowCircle""><button class= ""circle deg-4"" id=""bat0""></button><button class= ""circle deg-5"" id=""bat1""></button><button class= ""circle deg-6"" id=""bat2""></button></div><div id=""secondRowCircle""><button class= ""circle deg-7"" id=""bat3""></button><button class= ""circle deg-0"" id=""bat4""></button></div><div id=""thirdRowCircle""><button class= ""circle deg-1"" id=""bat5""></button><button class= ""circle deg-2"" id=""bat6""></button><button class= ""circle deg-3"" id=""bat7""></button></div></div>",0,html-button-response,1.0,23951.0,0.0-0.0-1.0,./songs/beatProductionAudio/beatModified/baseSongs/training/trainingBaseModified.mp3,141,fi,1751654894544.0,1751654863565.0,"bat,tapping",2,1,m12,null,0.0,9.0,2.0,,,34276,data.txt,,,,,,,,,,,,,
2,4407.0,,{'Q0': 3},survey-likert,2.0,28367.0,0.0-0.0-2.0,,141,fi,1751654894544.0,1751654863565.0,"bat,tapping",2,1,m12,null,,,,,,34276,data.txt,,,,,,,,,,,,[0],
3,2353.0,,{'Q0': 3},survey-likert,3.0,30728.0,0.0-0.0-3.0,,141,fi,1751654894544.0,1751654863565.0,"bat,tapping",2,1,m12,null,,,,,,34276,data.txt,,,,,,,,,,,,[0],
0,4287,"<a href=""https://mmbb.ltdk.helsinki.fi/utils/Privacy_Notice_MMBB_eng.pdf"" target=""_blank"">Privacy notice<span class=""new-tab-icon"" aria-hidden=""true""> 🔗</span></a><br><a href=""https://mmbb.ltdk.helsinki.fi/utils/informed_consent_eng.pdf"" target=""_blank"">Informed consent<span class=""new-tab-icon"" aria-hidden=""true""> 🔗</span></a>",0.0,html-button-response,0.0,4289.0,0.0-0.0-0.0,,142,eng,1755868035427.0,1755867862746.0,"bat,tapping",1,0,m12,null,,,,,,37097,data.txt,,,,,,,,,,,,,
1,,,,preload,1.0,4491.0,0.0-0.0-1.0,,142,eng,1755868035427.0,1755867862746.0,"bat,tapping",1,0,m12,null,,,,,,37097,data.txt,,True,False,[],[],[],,,,,,,
