,id,uuid,studyCode,startDateJATOS,endDateJATOS,duration,lastSeenDate,studyState,urlQueryParameters,workerId,workerType,batchId,batchUuid,batchTitle,groupId,componentResults,message,lang,user,trialIndex,nodeIndex,alicia,userID,studyID,uniqueID
5142,24174,fbbb5651-617c-495d-ba2b-dd05793c7647,PKudyqAmMau,1742816091079,,,1742816091388.0,DATA_RETRIEVED,"{'studyID': 'm12', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",23561,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 27544, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1742816091114, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_24174/comp-result_27544', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}]",,fi,m12_100,,,,,m12,null
5143,24177,9627fdad-0969-4fb8-99fe-4bc2164999a3,PKudyqAmMau,1742816229212,,,1742816229515.0,DATA_RETRIEVED,"{'studyID': 'm12', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",23564,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 27547, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1742816229251, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_24177/comp-result_27547', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}]",,fi,m12_100,,,,,m12,null
5144,24183,ddb92ab9-bc66-4e19-844e-2974763eac7c,PKudyqAmMau,1742816858584,,,1742816862346.0,DATA_RETRIEVED,"{'studyID': 'm12', 'lang': 'fi', 'user': 'm12_test', 'uniqueID': 'null'}",23570,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 27553, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1742816858631, 'endDate': 1742816861893, 'duration': '00:00:03', 'componentState': 'RELOADED', 'path': '/study_result_24183/comp-result_27553', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}, {'id': 27554, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1742816861893, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_24183/comp-result_27554', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}]",,fi,m12_test,,,,,m12,null
5176,24230,67edc081-d3bf-4e5d-a695-d28c17294d7a,PKudyqAmMau,1742897495067,1743406902185.0,5:21:30:07,1742897495512.0,FAIL,"{'studyID': 'm12', 'lang': 'fi', 'user': 'm12_100_test', 'uniqueID': 'null'}",23617,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 27613, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1742897495101, 'endDate': 1743406902185, 'duration': '5:21:30:07', 'componentState': 'FAIL', 'path': '/study_result_24230/comp-result_27613', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}]",Closed by JATOS: Too many unfinished studies open in the same browser.,fi,m12_100_test,,,,,m12,null
5204,24280,16f6fd9d-8e1a-44c4-8dc2-0b3a0ad42ebc,PKudyqAmMau,1743073765087,,,1743073766038.0,DATA_RETRIEVED,"{'studyID': 'm12', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",23665,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 27674, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1743073765135, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_24280/comp-result_27674', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}]",,fi,m12_100,,,,,m12,null
5229,24341,720204ac-070c-47a8-a708-86b6a9583cb4,PKudyqAmMau,1743268383986,1743268830152.0,00:07:26,1743268384783.0,FAIL,"{'studyID': 'm12', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",23726,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 27784, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1743268384077, 'endDate': 1743268830152, 'duration': '00:07:26', 'componentState': 'FAIL', 'path': '/study_result_24341/comp-result_27784', 'data': {'size': 39110, 'sizeHumanReadable': '39.1 kB'}, 'files': []}]",Closed by JATOS: Too many unfinished studies open in the same browser.,fi,m12_100,,,,,m12,null
5230,24342,18d90363-3f04-4edc-a724-7ec1a0b33d81,PKudyqAmMau,1743268386358,1743268860660.0,00:07:54,1743268389715.0,FAIL,"{'trialIndex': '0', 'studyID': 'm12', 'nodeIndex': '1', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",23727,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 27785, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1743268386461, 'endDate': 1743268388629, 'duration': '00:00:02', 'componentState': 'RELOADED', 'path': '/study_result_24342/comp-result_27785', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}, {'id': 27786, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1743268388630, 'endDate': 1743268388907, 'duration': '00:00:00', 'componentState': 'RELOADED', 'path': '/study_result_24342/comp-result_27786', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}, {'id': 27787, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1743268388908, 'endDate': 1743268388962, 'duration': '00:00:00', 'componentState': 'RELOADED', 'path': '/study_result_24342/comp-result_27787', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}, {'id': 27788, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1743268388963, 'endDate': 1743268860660, 'duration': '00:07:51', 'componentState': 'FAIL', 'path': '/study_result_24342/comp-result_27788', 'data': {'size': 54302, 'sizeHumanReadable': '54.3 kB'}, 'files': []}]",Closed by JATOS: Too many unfinished studies open in the same browser.,fi,m12_100,0,1,,,m12,null
5231,24343,ba86bc3f-5631-4144-8d3a-4bca8d37b1c7,PKudyqAmMau,1743268406007,,,1743268527313.0,DATA_RETRIEVED,"{'trialIndex': '0', 'studyID': 'm12', 'nodeIndex': '2', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",23728,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 27789, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1743268406056, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_24343/comp-result_27789', 'data': {'size': 62098, 'sizeHumanReadable': '62.1 kB'}, 'files': []}]",,fi,m12_100,0,2,,,m12,null
5232,24344,2c36c2db-b5f4-47df-9717-4fc986233a48,PKudyqAmMau,1743268597299,,,1743268603026.0,DATA_RETRIEVED,"{'trialIndex': '0', 'studyID': 'm12', 'nodeIndex': '3', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",23729,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 27790, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1743268597346, 'endDate': 1743268602115, 'duration': '00:00:04', 'componentState': 'RELOADED', 'path': '/study_result_24344/comp-result_27790', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}, {'id': 27791, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1743268602115, 'endDate': 1743268602325, 'duration': '00:00:00', 'componentState': 'RELOADED', 'path': '/study_result_24344/comp-result_27791', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}, {'id': 27792, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1743268602326, 'endDate': 1743268602394, 'duration': '00:00:00', 'componentState': 'RELOADED', 'path': '/study_result_24344/comp-result_27792', 'data': {'size': 0, 'sizeHumanReadable': '0 B', 'filename': 'data.txt'}, 'files': []}, {'id': 27793, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1743268602395, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_24344/comp-result_27793', 'data': {'size': 43973, 'sizeHumanReadable': '44.0 kB'}, 'files': []}]",,fi,m12_100,0,3,,,m12,null
5233,24345,578bc6aa-03f5-4069-be81-cfcf150eeb46,PKudyqAmMau,1743268623328,,,1743268623986.0,DATA_RETRIEVED,"{'trialIndex': '1', 'studyID': 'm12', 'nodeIndex': '3', 'lang': 'fi', 'user': 'm12_100', 'uniqueID': 'null'}",23730,GeneralMultiple,38,b4884081-7db9-4bc2-bf86-005fbb4560c6,Default,,"[{'id': 27794, 'componentId': 48, 'componentUuid': '64b9da7c-08d9-4451-a0e4-983df775a73d', 'startDate': 1743268623375, 'endDate': None, 'duration': None, 'componentState': 'DATA_RETRIEVED', 'path': '/study_result_24345/comp-result_27794', 'data': {'size': 49745, 'sizeHumanReadable': '49.7 kB'}, 'files': []}]",,fi,m12_100,1,3,,,m12,null
